상호명,도로명주소,행정동,위도,경도
갤러리딤,서울특별시 영등포구 선유로3길 10,문래동,37.515773346,126.886724102
노들섬(블루메쯔),서울특별시 용산구 양녕로 445,이촌2동,37.51766,126.95804
카페 그뢴,서울특별시 강동구 풍성로37길 41,성내2동,37.53370735,127.126334836
소나카페테라,서울특별시 강서구 강서로 45,화곡1동,37.53178,126.84641
스타벅스 별다방점,서울특별시 중구 퇴계로 100,회현동,37.560340871,126.982849539
유카플라워&가든,서울특별시 중랑구 공릉로2길 28,묵1동,37.61196834,127.079488125
공상온도,서울특별시 마포구 동교로 40,합정동,37.5525,126.90674
서대문구청내 카페_하이천사,서울특별시 서대문구 연희로 248,연희동,37.57912,126.93677
보틀라운지,서울특별시 서대문구 홍연길 26,연희동,37.575221967,126.928474712
스타벅스 시청 플러스점,서울특별시 중구 을지로 19,명동,37.56631,126.97997
